CVEGEO_A,CVEGEO_B,diferencia,clasificacion,poblacion_total,prioridad_brt
2800300011911,2800300011945,8.57,alta,13149,311016.0
2800900010457,2803800010726,9.11,alta,9106,226469.0
2800900010955,2803800010726,9.4,alta,8105,207229.0
2800900011154,2800900010480,11.98,alta,7067,206577.0
2800900011154,2800900010508,11.88,alta,6561,198759.0
2800900011099,2803800010726,9.9,alta,7249,178695.0
2800900010565,2800900010866,8.95,alta,7982,177168.0
2800900011154,2800900010461,10.73,alta,7416,168696.0
2800301220665,2800301220383,8.29,alta,7366,167316.0
2803800011391,2803800010529,10.78,alta,7234,159084.0
2800900010457,2800900010936,12.11,extrema,6744,148639.0
2800900011050,2800900010565,9.3,alta,6644,148294.0
2800900010936,2800900010461,11.87,alta,6044,135593.0
2800900010955,2803800010995,11.0,alta,6223,132114.0
2800900010442,280090001107A,9.7,alta,6741,131429.0
2800301220379,2800301220364,8.7,alta,5684,130550.0
280090001096A,2803800010995,11.2,alta,4941,128940.0
2800900011084,280090001107A,9.91,alta,6334,111730.0
2800301221682,2800301222411,10.18,alta,5165,109892.0
280030122238A,2800301221682,10.24,alta,4926,104920.0
2800301220665,2803800010552,8.29,alta,5517,103821.0
2800900010993,2800900010052,14.05,extrema,3681,97747.0
2800301221682,2800301221574,9.24,alta,4795,93928.0
2800300010237,2800300011945,9.3,alta,5070,92887.0
2800900011101,2800900011084,9.6,alta,5647,81859.0
2800900010160,2800900010156,9.21,alta,4102,74425.0
2800900010527,2800900010052,11.2,alta,4242,73166.0
2803800010868,2803800010552,8.77,alta,4082,63364.0
280090001089A,2800900010264,14.47,extrema,3565,62419.0
2800900010599,2800900010052,10.4,alta,3724,61193.0
2800900010052,2800900011008,13.26,extrema,2739,56658.0
2800301220364,2800301221381,9.03,alta,3181,53140.0
2800900010283,2800900010902,16.66,extrema,2451,52267.0
2800900010298,2800900010264,14.54,extrema,3046,51375.0
2800300010218,2800300011945,10.0,alta,2551,51020.0
280090001089A,2800900010283,16.93,extrema,2234,43117.0
2800900010298,2800900010283,17.0,extrema,1715,31779.0
2800900010917,2800900010902,8.99,alta,2030,22630.0
2800300011875,2800300010824,9.43,alta,1731,22200.0
2800301222163,2800301222411,9.09,alta,1491,14095.0
2800301220595,2800301222144,8.26,alta,865,10217.0
